param,value,is_prod,cagr,sharpe,maxdd,E1_2015-17_cagr,E1_2015-17_sharpe,E2_2018-20H1_cagr,E2_2018-20H1_sharpe,E3_2020H2-22_cagr,E3_2020H2-22_sharpe,E4_2023-26_cagr,E4_2023-26_sharpe
LOOKBACK,63,False,0.23015938673197311,1.1125198759748745,0.40058982307091,0.2712839687262074,1.4549672214784342,-0.1803765179396546,-0.9897682419985179,0.7853750034983915,3.7610063708351977,0.2633333663820978,1.451233787535135
LOOKBACK,84,False,0.14056829053347575,0.7105226544798297,0.36312764751227466,0.28951258113783784,1.5572858631705082,-0.16604564165446678,-0.883975445736379,0.2884251258253714,1.5092487626064897,0.255413301382154,1.3106981763537722
LOOKBACK,105,False,0.23581994463551137,1.1990112210392887,0.31429763611589806,0.33901164331967704,2.0511592655723625,-0.12743878956504817,-0.666663304340271,0.6223729135479246,3.381797317635117,0.29493805397145767,1.5766394045487602
LOOKBACK,126,True,0.21719966269727697,1.0381993245052397,0.3585709521892733,0.3411322054787218,1.9639011605321788,-0.15706174255753358,-0.8124724504015574,0.6438137647867568,3.1167607852691837,0.23399410085829508,1.1722391410046122
LOOKBACK,147,False,0.20713421678712818,0.9983378238954391,0.36211178733084054,0.40059591113109483,1.9377853454658815,-0.15148894934458312,-0.8039745902349811,0.5482110210290938,2.6177100742076913,0.23944220775601832,1.3032195472988828
LOOKBACK,189,False,0.17821432675072346,0.9342230075652701,0.3409245891106651,0.43305632876950373,2.549304160993322,-0.14197306995368386,-0.7748427524606477,0.42522028884187524,2.0495844690979927,0.18195131323462332,1.0890004641847686
LOOKBACK,252,False,0.2104190805859687,1.0428596530404062,0.3478351321254531,0.43625565390345233,2.6303878341346927,-0.15625479236858864,-0.7491448444807892,0.6182427199173668,3.1285328010051665,0.20003444453420904,1.118653871550177
HOLD,10,False,0.2131461507498651,0.961746753396337,0.4367140218449108,0.45126534962583276,2.0951537786327585,-0.18239066831707718,-1.1048494485161215,0.5304116556823766,1.9193472101267535,0.21093124624764314,1.0483365683761026
HOLD,15,False,0.2771291487734526,1.287834615887836,0.3976788905429953,0.39519117181288355,1.6417996997666342,-0.160628217006206,-1.0186869395670677,0.6466361787990733,2.693213238468217,0.34158170052621895,1.757404199193498
HOLD,21,True,0.21719966269727697,1.0381993245052397,0.3585709521892733,0.3411322054787218,1.9639011605321788,-0.15706174255753358,-0.8124724504015574,0.6438137647867568,3.1167607852691837,0.23399410085829508,1.1722391410046122
HOLD,31,False,0.3136245048224533,1.1449955534896739,0.2290427862260111,0.7212736545623437,1.9841977570718972,-0.01688922210108612,-0.09339124916019732,0.5419440131701954,1.5669854705221857,0.24445298241126845,1.3407494514486664
HOLD,42,False,0.1842683928631177,0.8286234396612219,0.18938118373437407,0.2706813342073886,1.4656775676477019,-0.07544180828548452,-0.480390122883893,0.351821158738548,1.3860980046443923,0.29417695305924285,1.2719092869768944
MA_GATE,0,False,0.21058045717367047,1.0174052428270755,0.337543035266627,0.36382768022314194,2.0300124670968365,-0.13907151877809143,-0.7412974955370388,0.5115198952894799,2.3498115880194916,0.2563476983425239,1.3258246044301538
MA_GATE,20,False,0.21152296035945284,1.0023505006116082,0.4160858811671105,0.30390179944000484,1.7643502453786521,-0.16691972199422078,-0.8045623472942189,0.5072741552835152,2.6820964244163874,0.3202376696302711,1.5039624911066014
MA_GATE,50,True,0.21719966269727697,1.0381993245052397,0.3585709521892733,0.3411322054787218,1.9639011605321788,-0.15706174255753358,-0.8124724504015574,0.6438137647867568,3.1167607852691837,0.23399410085829508,1.1722391410046122
MA_GATE,100,False,0.21203107890946615,1.0247841481027429,0.33754303526662677,0.36382835351384624,2.0300153505225476,-0.138742792485541,-0.7392858379463705,0.5185089700005676,2.3897955343451343,0.2563476983425237,1.3258246044301543
MA_GATE,200,False,0.2107960037293124,1.0184393860992167,0.337543035266627,0.36382768022314194,2.0300124670968365,-0.13907151877809143,-0.7412974955370388,0.5115198952894799,2.3498115880194916,0.2570166294959284,1.3293138573248033
VOL_WIN,42,False,0.20865518930844495,0.9407472692031135,0.4161302688812617,0.3411408448703095,1.9335360424154475,-0.19020869012128605,-0.9608745953494745,0.6630842296921997,2.844288714056203,0.23624230580329786,1.1287098660328605
VOL_WIN,63,True,0.21719966269727697,1.0381993245052397,0.3585709521892733,0.3411322054787218,1.9639011605321788,-0.15706174255753358,-0.8124724504015574,0.6438137647867568,3.1167607852691837,0.23399410085829508,1.1722391410046122
VOL_WIN,84,False,0.21832113644803885,0.9917049091511898,0.42051150328720005,0.4140930533576659,2.3512343045227007,-0.18472238430510968,-0.9322183480022616,0.6855520046219254,2.9755599286518626,0.22134657994013662,1.0843696375501006
VOL_WIN,126,False,0.2841867485145704,1.2140187473579294,0.29070982749671004,0.3222768506537066,1.4707139137281768,-0.09808862602897495,-0.5260775218635979,0.8093099088435733,3.0401383871191814,0.2970337087532504,1.3911043176478528
BULL_N,6,False,0.2197154612986505,0.9265466745447859,0.4059011563365813,0.4268445379857657,2.0407664877110174,-0.18342845604106262,-0.8922457025431364,0.6581791523469152,2.748300101164655,0.20112870769779279,0.8876815892179076
BULL_N,8,False,0.2203204272624002,0.9953870036703382,0.362720274065963,0.4054850645586494,2.180957241798582,-0.15932671533739906,-0.7859755620657569,0.6861961991310772,3.0278869882063373,0.18937997381749483,0.9202952061273967
BULL_N,10,True,0.21719966269727697,1.0381993245052397,0.3585709521892733,0.3411322054787218,1.9639011605321788,-0.15706174255753358,-0.8124724504015574,0.6438137647867568,3.1167607852691837,0.23399410085829508,1.1722391410046122
BULL_N,12,False,0.21941928597656202,1.0616283343038748,0.3569943822873757,0.3394934141382049,2.117099220239978,-0.15620339614132128,-0.786969545333884,0.6359000631133667,3.1664955102670995,0.24979969533020374,1.2525282336820158
