Date,Close,Volume,Turnover
2016-01-01,25.4375,1055162,107844321.1
2016-01-04,25.0375,1423027,143516886.65
2016-01-05,25.075,1124164,112969310.05
2016-01-06,25.675,4918352,510615155.75
2016-01-07,24.9625,2501019,251403662.05
2016-01-08,25.175,2132860,215890023.35
2016-01-11,23.375,5239116,495155516.45
2016-01-12,22.875,2482492,230642353.9
2016-01-13,21.525,6359267,554745052.7
2016-01-14,20.3,3725078,306749317.75
2016-01-15,18.775,5242942,412590864.95
2016-01-18,17.1625,4793016,340799871.15
2016-01-19,18.5625,4500323,324896131.9
2016-01-20,18.2625,2523710,182656246.05
2016-01-21,18.45,2050134,152042485.65
2016-01-22,19.1375,1693436,128827376.3
2016-01-25,19.5,1772000,137931490.5
2016-01-27,19.3375,1247060,97108493.9
2016-01-28,19.625,1142489,89266982.95
2016-01-29,19.775,1969150,155850773.95
2016-02-01,20.425,1993595,162485475.25
2016-02-02,19.3125,1873056,149007283.6
2016-02-03,18.6,1907345,142459216.65
2016-02-04,18.5875,1537053,115665374.05
2016-02-05,19.2875,1430689,109323106.85
2016-02-08,19.425,935357,72960284.1
2016-02-09,18.7875,1391888,104687074.0
2016-02-10,18.1375,1692888,123015043.75
2016-02-11,16.675,2811745,193574528.6
2016-02-12,16.5875,2427975,159686900.9
2016-02-15,17.3625,1842794,128332873.9
2016-02-16,17.1375,1122822,77735263.95
2016-02-17,17.025,1462996,98465903.6
2016-02-18,17.5875,1486916,104638373.25
2016-02-19,18.85,2885734,211725223.85
2016-02-22,18.7125,1385191,103650168.85
2016-02-23,17.9375,1807342,130942472.15
2016-02-24,17.125,2304500,159281047.3
2016-02-25,17.2625,2505932,175147273.95
2016-02-26,16.8,2544006,173227017.95
2016-02-29,16.2125,3944808,261458589.55
2016-03-01,16.925,2382408,160500012.65
2016-03-02,17.5875,3864376,271403297.3
2016-03-03,17.525,2559850,178831714.35
2016-03-04,17.975,3510601,251399850.0
2016-03-08,18.1375,2551889,185143600.7
2016-03-09,17.9875,1860729,133435709.1
2016-03-10,18.05,1705704,123051961.05
2016-03-11,17.9625,1712601,123515342.55
2016-03-14,17.9,1383358,99088059.25
2016-03-15,17.6125,1677032,118623103.85
2016-03-16,17.3,2062805,142180152.25
2016-03-17,17.425,1447462,101404259.5
2016-03-18,17.3875,1451740,101116740.0
2016-03-21,17.55,2622417,183740416.4
2016-03-22,18.4,7293967,536618151.25
2016-03-23,18.4,3207969,236448315.9
2016-03-28,18.475,3080241,228949587.1
2016-03-29,18.7375,3767679,282943975.75
2016-03-30,19.1125,2465900,187969349.6
2016-03-31,19.25,2659180,206014079.3
2016-04-01,20.0125,4182984,331069263.2
2016-04-04,20.2,2802118,226523941.45
2016-04-05,19.3375,2787793,218165816.7
2016-04-06,19.6875,2244247,174611507.05
2016-04-07,19.475,1391805,108743048.1
2016-04-08,19.625,1531005,119874042.7
2016-04-11,19.7125,1250378,98785371.1
2016-04-12,20.075,2138048,171214500.8
2016-04-13,20.6875,3709497,309054279.7
2016-04-18,21.0625,2096745,175416204.9
2016-04-20,21.1875,3347551,286410202.45
2016-04-21,21.2375,1811717,154400756.15
2016-04-22,20.95,1090417,91305923.55
2016-04-25,20.6125,1196715,98934775.7
2016-04-26,21.05,1677117,140498764.25
