Date,Close,Volume,Turnover
2015-07-09,162.23883056640625,9752186,1582183252.106079
2015-07-10,164.6643829345703,1099670,181076481.98165894
2015-07-13,159.466796875,396688,63258564.71875
2015-07-14,161.00132751464844,199692,32150677.094055176
2015-07-15,161.5953369140625,158874,25673297.556884766
2015-07-16,162.4368438720703,99892,16226141.208068848
2015-07-17,167.75819396972656,361970,60723433.471221924
2015-07-20,174.61404418945312,362158,63237873.015563965
2015-07-21,180.4551239013672,807248,145672037.85913086
2015-07-22,183.30142211914062,267310,48998303.14666748
2015-07-23,179.5888671875,93900,16863394.62890625
2015-07-24,174.04478454589844,97706,17005219.718841553
2015-07-27,178.1285858154297,120570,21476963.591766357
2015-07-28,182.01441955566406,107706,19604045.072662354
2015-07-29,184.66268920898438,101486,18740677.67706299
2015-07-30,193.52334594726562,205392,39748147.07080078
2015-07-31,200.20594787597656,183220,36681733.769836426
2015-08-03,189.21678161621094,303254,57380745.89224243
2015-08-04,186.865478515625,238074,44487811.932128906
2015-08-05,194.0926055908203,119988,23288783.559631348
2015-08-06,194.53810119628906,172486,33555098.922943115
2015-08-07,195.1568603515625,47986,9364797.100830078
2015-08-10,215.179931640625,472746,101725451.9633789
2015-08-11,206.29454040527344,299846,61856592.76235962
2015-08-12,207.55682373046875,989894,205459254.46984863
2015-08-13,203.8195037841797,118562,24165248.007659912
2015-08-14,205.60153198242188,91314,18774298.29144287
2015-08-17,206.36878967285156,35640,7354983.66394043
2015-08-18,207.82907104492188,72850,15140347.825622559
2015-08-19,213.670166015625,105758,22597329.41748047
2015-08-20,213.24940490722656,106006,22605716.41659546
2015-08-21,212.48214721679688,80232,17047867.635498047
2015-08-24,199.31492614746094,249044,49638186.46746826
2015-08-25,194.98361206054688,52404,10217921.206420898
2015-08-26,204.73526000976562,77660,15899740.292358398
2015-08-27,215.6501922607422,108256,23345427.213378906
2015-08-28,216.8382110595703,174966,37939314.43624878
2015-08-31,212.50686645507812,47210,10032449.165344238
2015-09-01,206.4430389404297,40284,8316351.3806762695
