Symbol,Date,CMP,S1,S1_prob,S1_n,R1,R1_prob,R1_n,S2,S2_prob,S2_n,R2,R2_prob,R2_n
HFCL,2026-07-09,214.68,111.35,66,62,229.5,62,93,78.99,66.0,62.0,,,
HFCL,2026-07-10,214.68,111.35,66,62,229.5,62,93,78.99,66.0,62.0,,,
HFCL,2026-07-13,214.63,111.35,66,62,229.5,62,93,78.99,66.0,62.0,,,
HFCL,2026-07-14,212.78,111.35,66,62,229.5,62,93,78.99,66.0,62.0,,,
HFCL,2026-07-16,224.38,111.35,66,62,229.5,66,133,78.99,66.0,62.0,,,
HFCL,2026-07-20,203.77,111.35,66,62,208.98,66,133,78.99,66.0,62.0,,,
HFCL,2026-07-21,217.97,111.35,66,62,229.5,59,115,78.99,66.0,62.0,,,
HFCL,2026-07-23,207.01,111.35,66,62,208.98,60,124,78.99,66.0,62.0,,,
KALYANKJIL,2026-07-14,529.75,511.19,66,133,533.53,60,124,,,,,,
KALYANKJIL,2026-07-16,546.6,511.19,62,93,574.22,59,115,,,,615.9,66.0,62.0
KALYANKJIL,2026-07-20,570.0,511.19,58,65,574.22,60,124,500.88,66.0,62.0,,,
KALYANKJIL,2026-07-21,577.0,511.19,58,65,615.9,62,93,500.88,66.0,62.0,793.08,66.0,62.0
KALYANKJIL,2026-07-23,585.6,511.19,66,62,615.9,59,115,500.88,66.0,62.0,793.08,66.0,62.0
KFINTECH,2026-07-14,886.25,854.43,69,360,898.23,58,447,812.29,71.0,111.0,915.6,69.0,360.0
KFINTECH,2026-07-16,871.15,854.43,58,447,895.06,69,360,812.29,74.0,175.0,915.6,72.0,253.0
KFINTECH,2026-07-20,881.8,854.43,69,360,895.06,58,447,812.29,74.0,175.0,915.6,69.0,360.0
KFINTECH,2026-07-21,888.85,854.43,69,360,890.33,58,447,812.29,71.0,111.0,915.6,69.0,360.0
KFINTECH,2026-07-23,868.25,854.43,58,447,890.19,69,360,826.8,72.0,253.0,915.6,72.0,253.0
KIRLOSENG,2026-07-09,2424.8,1536.1,66,62,2720.0,66,62,1254.9,66.0,62.0,,,
KIRLOSENG,2026-07-10,2424.8,1536.1,66,62,2720.0,66,62,1254.9,66.0,62.0,,,
KIRLOSENG,2026-07-13,2436.2,1536.1,66,62,2720.0,58,65,1254.9,66.0,62.0,,,
KIRLOSENG,2026-07-14,2362.3,1536.1,66,62,2720.0,66,62,1254.9,66.0,62.0,,,
KIRLOSENG,2026-07-16,2396.1,1536.1,66,62,2720.0,66,62,1253.33,66.0,62.0,,,
LAURUSLABS,2026-07-23,1568.3,1095.5,66,28,1600.1,69,360,1016.35,66.0,28.0,,,
OFSS,2026-07-09,11002.0,9682.81,71,111,11021.27,58,447,9439.06,66.0,28.0,12262.5,71.0,111.0
OFSS,2026-07-13,11746.0,9673.51,66,28,12262.5,72,253,9525.43,66.0,28.0,,,
OFSS,2026-07-14,11746.0,9673.51,66,28,12262.5,72,253,9525.43,66.0,28.0,,,
PREMIERENE,2026-07-09,1089.2,1023.5,74,175,1099.22,58,447,974.3,71.0,111.0,1126.5,69.0,360.0
PREMIERENE,2026-07-10,1089.2,1023.5,74,175,1099.22,58,447,974.3,71.0,111.0,1126.5,69.0,360.0
PREMIERENE,2026-07-13,1109.5,1023.5,74,175,1126.5,58,447,974.3,66.0,28.0,1162.18,72.0,253.0
PREMIERENE,2026-07-14,1100.9,1023.5,74,175,1126.5,69,360,974.3,71.0,111.0,1162.18,72.0,253.0
PREMIERENE,2026-07-16,1100.6,1023.5,74,175,1126.5,69,360,974.3,71.0,111.0,1162.18,72.0,253.0
PREMIERENE,2026-07-20,1088.8,1022.95,74,175,1099.22,58,447,974.3,71.0,111.0,1126.5,69.0,360.0
